Digi-Key Part No.,Manufacturer Name,Mfr Part No.,Customer Reference,Qty1,
A303-ND,Aries Electronics,28-6554-11,REF41,1,
SR151-IB-ND,Serpac,151IBK,REF39,1,
182-09ME-ND,Norcomp Inc.,182-009-113R531,REF15,1,
744C083104JPCT-ND,CTS Resistor Products,744C083104JPTR,REF21,1,
744C083470JPCT-ND,CTS Resistor Products,744C083470JTR,REF20,2,
ED7150-ND,Mill-Max Mfg Corp,801-93-050-10-001000,REF40,1,
WM17122CT-ND,Molex Inc,56579-0576,REF14,1,
3M9458-ND,3M,961204-6404-AR,REF42,1,
3M9459-ND,3M,961206-6404-AR,REF43,1,
A33160-ND,Tyco Electronics,5103309-1,REF16,1,
AT90USB1286-AURCT-ND,Atmel,AT90USB1286-AU,REF2,1,
SW1020CT-ND,Omron Electronics Inc,B3U-1000P,REF12,2,
B140-FDICT-ND,Diodes Inc,B140-13-F,REF38,2,
BC847BMTFCT-ND,Fairchild Semiconductor,BC847BMTF,REF4,2,
490-1054-1-ND,Murata Electronics,BLM21PG221SN1D,REF28,1,
DF005SCT-ND,Fairchild Semiconductor,DF005S,REF5,1,
DMP3130LDICT-ND,Diodes Inc,DMP3130L,REF6,2,
XC1271CT-ND,ECS Inc,ECS-80-18-5PX-TR,REF17,1,
P22.1CCT-ND,Panasonic - ECG,ERJ-6ENF22R1V,REF33,2,
P1.00KCCT-ND,Panasonic - ECG,ERJ-6ENF1001V,REF30,4,
P100KCCT-ND,Panasonic - ECG,ERJ-6ENF1003V,REF36,2,
P10.2KCCT-ND,Panasonic - ECG,ERJ-6ENF1022V,REF32,3,
P3.40KCCT-ND,Panasonic - ECG,ERJ-6ENF3401V,REF31,1,
P47.0KCCT-ND,Panasonic - ECG,ERJ-6ENF4702V,REF35,2,
P0.0ACT-ND,Panasonic - ECG,ERJ-6GEY0R00V,REF29,1,
490-4785-1-ND,Murata Electronics,GCM21BR71E105KA56L,REF27,7,
490-4970-1-ND,Murata Electronics,GCM21BR71H224KA37L,REF26,2,
490-4789-1-ND,Murata Electronics,GCM21BR72A104KA37L,REF24,9,
490-1591-1-ND,Murata Electronics,GRM2195C2A220JZ01D,REF25,2,
LM340MP-5.0/NOPBCT-ND,National Semiconductor,LM340MP-5.0/NOPB,REF7,1,
MAX232ECWE+-ND,Maxim Integrated Products,MAX232ECWE+,REF8,1,
MINISMDC014FCT-ND,Tyco Electronics,MINISMDC014F-2,REF19,1,
F2594CT-ND,Littelfuse Inc,PGB1010603MR,REF18,2,
CP-102AH-ND,CUI Inc,PJ-102AH,REF13,1,
478-3886-1-ND,AVX Corporation,TAJB475K010RNJ,REF23,1,
478-3934-1-ND,AVX Corporation,TAJD475M035RNJ,REF22,1,
751-1101-ND,Vishay Semiconductor,TLHG4405,REF10,2,
751-1129-ND,Vishay Semiconductor,TLHR4405,REF9,1,
